"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","Employment 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex","Age group","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020"
"",,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"50 to 54 years","2,239.7","2,214.6","2,178.7","2,158.0","2,154.3","2,172.0","2,176.8","2,178.9","2,214.2","2,202.8","2,215.7","2,226.8","2,193.4","2,168.2","2,125.6","2,101.1","2,111.7","2,119.3","2,149.7","2,161.1","2,159.1","2,114.2","2,124.7","2,147.1","2,133.2","2,164.9","2,134.6","2,108.3","2,073.9","2,068.9","2,090.7","2,115.0","2,143.1","2,113.3","2,138.0","2,190.3","2,151.0","2,120.6","2,112.5","2,088.9","2,091.4","2,081.8","2,097.1","2,075.3","2,072.2","2,021.5","2,039.9","2,073.9","2,088.1","2,060.4","2,046.1","2,030.4","2,028.6","2,009.0","2,003.8","2,042.3","2,019.1","1,988.9","2,006.7","2,049.5","2,023.9","2,000.3","1,979.8","1,959.8","1,980.7"
,"55 to 59 years","1,782.8","1,769.5","1,748.3","1,738.5","1,765.8","1,773.2","1,780.3","1,800.7","1,815.6","1,773.9","1,773.3","1,797.7","1,803.9","1,793.1","1,808.3","1,785.4","1,809.7","1,812.9","1,835.6","1,875.6","1,868.6","1,831.1","1,838.2","1,888.6","1,891.9","1,880.9","1,857.3","1,861.7","1,868.5","1,856.3","1,856.6","1,878.5","1,893.1","1,862.2","1,880.4","1,921.9","1,939.2","1,935.8","1,931.6","1,880.7","1,889.9","1,874.1","1,878.5","1,914.8","1,929.4","1,897.7","1,904.2","1,948.9","1,947.6","1,945.0","1,930.1","1,903.3","1,913.5","1,899.0","1,931.2","1,952.0","1,969.9","1,932.6","1,926.2","1,955.0","1,963.0","1,938.9","1,916.1","1,901.1","1,916.5"
,"60 to 64 years","1,062.9","1,049.6","1,047.7","1,049.5","1,067.0","1,082.4","1,092.0","1,115.8","1,129.8","1,104.0","1,118.4","1,151.0","1,147.9","1,136.0","1,137.1","1,126.5","1,126.3","1,127.1","1,125.5","1,165.6","1,162.2","1,132.0","1,152.2","1,196.9","1,200.5","1,165.5","1,164.8","1,146.0","1,164.6","1,159.3","1,184.9","1,197.1","1,214.6","1,186.2","1,211.9","1,243.2","1,225.2","1,234.7","1,252.5","1,222.1","1,239.0","1,260.3","1,254.9","1,276.6","1,291.6","1,277.0","1,272.2","1,303.7","1,310.0","1,310.8","1,307.4","1,253.2","1,250.3","1,275.2","1,285.1","1,307.5","1,333.3","1,310.5","1,318.7","1,367.4","1,366.3","1,363.5","1,359.0","1,342.0","1,343.7"
,"65 years and over","692.0","679.1","667.4","685.9","679.4","668.2","685.5","691.7","700.0","680.7","698.2","726.1","767.7","751.9","739.4","727.4","750.4","738.0","719.5","726.5","745.2","743.7","738.1","772.1","766.2","764.7","771.5","751.9","770.4","760.6","768.0","785.0","796.6","797.7","806.2","842.7","832.9","826.9","831.7","840.6","825.6","816.3","830.8","839.3","827.3","799.6","772.1","811.7","821.1","832.3","850.7","880.9","897.5","910.5","912.5","912.2","901.2","871.4","899.1","918.0","946.5","910.3","931.9","918.0","913.9"
,"65 to 69 years","456.3","442.5","435.7","445.1","445.7","440.4","451.4","461.2","462.7","441.6","455.3","476.7","501.5","490.0","480.5","471.4","494.2","477.2","465.5","476.1","486.9","473.5","469.5","494.9","502.4","494.4","496.6","481.3","489.2","492.3","499.0","505.8","513.7","509.8","516.7","528.3","517.7","512.8","511.2","512.7","495.9","485.9","494.2","510.6","516.8","500.8","478.6","507.9","515.6","518.5","525.5","538.9","553.1","565.7","572.0","578.8","570.4","550.6","565.0","578.6","591.2","559.3","580.6","572.0","566.9"
,"70 years and over","235.7","236.6","231.6","240.8","233.7","227.8","234.1","230.5","237.2","239.1","242.9","249.4","266.2","261.9","258.9","256.0","256.1","260.8","254.0","250.4","258.3","270.2","268.6","277.2","263.8","270.3","274.9","270.6","281.2","268.2","269.0","279.2","282.8","287.9","289.5","314.4","315.2","314.1","320.5","327.9","329.7","330.5","336.6","328.7","310.5","298.8","293.5","303.8","305.5","313.8","325.2","341.9","344.5","344.8","340.5","333.4","330.8","320.8","334.1","339.4","355.2","351.0","351.4","346.1","347.0"
"Males","15 years and over","9,454.2","9,371.2","9,291.5","9,129.4","9,140.4","9,121.9","9,215.0","9,507.2","9,660.1","9,706.7","9,720.7","9,554.7","9,532.5","9,443.0","9,341.1","9,172.7","9,184.5","9,177.6","9,250.4","9,557.6","9,633.9","9,661.8","9,689.9","9,577.8","9,579.7","9,523.9","9,451.0","9,319.6","9,346.2","9,362.9","9,410.2","9,724.8","9,834.0","9,881.9","9,903.9","9,729.2","9,728.4","9,719.0","9,665.7","9,479.4","9,500.8","9,534.5","9,564.6","9,831.4","9,955.5","9,991.5","9,954.4","9,851.9","9,823.9","9,843.9","9,766.1","9,651.9","9,687.0","9,730.4","9,827.1","10,081.2","10,179.7","10,235.7","10,261.8","10,133.2","10,092.0","9,994.6","9,958.8","9,811.8","9,870.1"
,"15 to 24 years","1,235.6","1,208.4","1,193.4","1,146.7","1,148.1","1,150.3","1,153.6","1,303.0","1,357.3","1,426.0","1,415.2","1,199.4","1,187.2","1,175.4","1,160.1","1,124.3","1,114.4","1,111.4","1,121.7","1,271.2","1,307.7","1,370.6","1,380.8","1,196.1","1,213.0","1,187.2","1,186.2","1,124.6","1,141.1","1,137.9","1,137.1","1,287.3","1,347.5","1,421.4","1,405.4","1,202.8","1,212.3","1,223.8","1,203.7","1,143.9","1,142.4","1,164.2","1,154.1","1,296.8","1,353.9","1,430.3","1,408.1","1,211.8","1,190.6","1,200.4","1,177.6","1,154.3","1,171.1","1,184.6","1,217.5","1,314.7","1,373.1","1,449.0","1,437.6","1,230.1","1,229.4","1,222.3","1,214.5","1,169.4","1,193.3"
,"25 years and over","8,218.6","8,162.8","8,098.1","7,982.7","7,992.3","7,971.7","8,061.5","8,204.2","8,302.8","8,280.7","8,305.5","8,355.3","8,345.2","8,267.6","8,181.0","8,048.4","8,070.1","8,066.2","8,128.7","8,286.4","8,326.2","8,291.3","8,309.1","8,381.7","8,366.7","8,336.8","8,264.8","8,194.9","8,205.1","8,225.0","8,273.2","8,437.5","8,486.5","8,460.5","8,498.5","8,526.4","8,516.1","8,495.2","8,462.0","8,335.5","8,358.4","8,370.3","8,410.5","8,534.6","8,601.6","8,561.2","8,546.2","8,640.2","8,633.3","8,643.6","8,588.5","8,497.6","8,515.9","8,545.8","8,609.6","8,766.5","8,806.6","8,786.7","8,824.3","8,903.0","8,862.6","8,772.3","8,744.3","8,642.4","8,676.8"
,"25 to 44 years","4,045.3","4,035.6","4,021.3","3,955.9","3,948.9","3,946.8","3,996.3","4,069.8","4,110.7","4,104.2","4,114.4","4,115.2","4,114.1","4,090.4","4,054.8","3,980.9","3,956.4","3,971.8","4,016.5","4,096.7","4,125.9","4,133.4","4,132.1","4,161.0","4,154.7","4,144.7","4,113.0","4,088.0","4,079.8","4,099.7","4,119.2","4,213.6","4,231.2","4,226.4","4,217.1","4,213.8","4,214.3","4,222.4","4,202.4","4,167.1","4,180.2","4,185.8","4,220.9","4,287.8","4,339.1","4,325.9","4,324.4","4,351.8","4,359.9","4,367.6","4,327.4","4,265.3","4,268.8","4,270.4","4,292.4","4,374.4","4,391.6","4,393.2","4,419.6","4,469.2","4,461.9","4,418.7","4,410.5","4,359.9","4,369.5"
